name,iata,icao,country,lat,lon
Sunchales Airport,NCJ,SAFS,Argentina,-30.957075,-61.527603
Sundsvall Timra Airport,SDL,ESNN,Sweden,62.528118,17.44392
Sunrise Dam Airport,QBQ,YSRD,Australia,-29.100266,122.453911
Sunshine Coast Airport,MCY,YBSU,Australia,-26.6033,153.091095
Suntar Airport,SUY,UENS,Russia,62.184723,117.636108
Sunyani Airport,NYI,DGSN,Ghana,7.361849,-2.328739
Superior Richard I Bong Airport,SUW,KSUW,United States,46.688316,-92.099167
Surabaya Juanda International Airport,SUB,WARR,Indonesia,-7.37983,112.786797
Surakarta Adisumarmo International Airport,SOC,WAHQ,Indonesia,-7.51608,110.756798
Surat International Airport,STV,VASU,India,21.114059,72.741791
Surat Thani Airport,URT,VTSB,Thailand,9.132603,99.135582
Surgut International Airport,SGC,USRR,Russia,61.343689,73.40184
Surigao Airport,SUG,RPMS,Philippines,9.760528,125.481812
Surkhet Airport,SKH,VNSK,Nepal,28.586,81.636002
Susanville Municipal Airport,SVE,KSVE,United States,40.375557,-120.572777
Suwalki Airport,QPH,EPSU,Poland,54.074154,22.89422
Suwon Air Base,SWU,RKSW,South Korea,37.239262,127.007088
Sveg Harjedalen Airport,EVG,ESND,Sweden,62.04781,14.42295
Svetlogorsk Airport,SES,UOIG,Russia,66.840446,88.411186
Svolvaer Helle Airport,SVJ,ENSH,Norway,68.243332,14.66916
Swainsboro East Georgia Regional Airport,QTS,KSBO,United States,32.609016,-82.369804
Swakopmund Airport,SWP,FYSM,Namibia,-22.661943,14.568677
Swan Hill Airport,SWH,YSWH,Australia,-35.375801,143.533005
Swan River Airport,ZJN,CZJN,Canada,52.121075,-101.234581
Swansea Airport,SWS,EGFH,United Kingdom,51.605331,-4.06783
Sweetwater Avenger Field Airport,SWW,KSWW,United States,32.4636,-100.467873
Swift Current Airport,YYN,CYYN,Canada,50.292213,-107.688652
Sydney J.A. Douglas McCurdy Airport,YQY,CYQY,Canada,46.161381,-60.047699
Sydney Kingsford Smith Airport,SYD,YSSY,Australia,-33.946098,151.1772
Syktyvkar Airport,SCW,UUYY,Russia,61.647049,50.845051
Sylhet Osmani International Airport,ZYL,VGSY,Bangladesh,24.96324,91.866783
Sylt Airport,GWT,EDXW,Germany,54.91325,8.340472
Sylvester Airport,SYV,KSYV,United States,31.556343,-83.89418
Syracuse Hancock International Airport,SYR,KSYR,United States,43.111179,-76.1063
Syros Island National Airport,JSY,LGSO,Greece,37.423611,24.950001
Szczecin Dabie Airport,QXS,EPSD,Poland,53.390678,14.632319
Szczecin Goleniow Airport,SZZ,EPSC,Poland,53.584728,14.9022
Szeged Airport,QHD,LHUD,Hungary,46.24551,20.09067
Taba International Airport,TCP,HETB,Egypt,29.58777,34.778049
Tabarka Ain Draham Airport,TBJ,DTKA,Tunisia,36.98,8.876944
Tabas Airport,TCX,OIMT,Iran,33.667801,56.8927
Tabatinga International Airport,TBT,SBTT,Brazil,-4.25566,-69.935799
Tabiteuea North Airport,TBF,NGTE,Kiribati,-1.224996,174.776611
Tabiteuea South Airport,TSU,NGTS,Kiribati,-1.47444,175.064606
Tablas Tugdan Airport,TBH,RPVU,Philippines,12.31612,122.080559
Tabora Airport,TBO,HTTB,Tanzania,-5.07638,32.833328
Tabriz International Airport,TBZ,OITT,Iran,38.133881,46.235001
Tabuaeran Airport,TNV,PLFA,Kiribati,3.89942,-159.389236
Tabubil Airport,TBG,AYTB,Papua New Guinea,-5.27861,141.225998
Tabuk Regional Airport,TUU,OETB,Saudi Arabia,28.36541,36.618881
Tacheng Airport,TCG,ZWTC,China,46.666668,83.333336
Tachilek Airport,THL,VYTL,Myanmar (Burma),20.483829,99.935349
Tacloban Daniel Z. Romualdez Airport,TAC,RPVA,Philippines,11.22762,125.027702
Tacna International Airport,TCQ,SPTN,Peru,-18.053301,-70.275803
Tacoma Gray Army Airfield,GRF,KGRF,United States,47.079426,-122.580772
Tacoma McChord Field,TCM,KTCM,United States,47.138634,-122.476471
Tacoma Narrows Airport,TIW,KTIW,United States,47.267632,-122.576477
Tadoule Lake Airport,XTL,CYBQ,Canada,58.707954,-98.513443
Taganrog Yuzhny Airport,TGK,URRT,Russia,47.198318,38.849041
Tahuna Naha Airport,NAH,WAMH,Indonesia,3.68321,125.528
Taichung Airport,RMQ,RCMQ,Taiwan,24.26466,120.620499
Taif Airport,TIF,OETF,Saudi Arabia,21.48341,40.544331
Tainan Airport,TNN,RCNN,Taiwan,22.950359,120.205704
Taipei Songshan Airport,TSA,RCSS,Taiwan,25.069719,121.552498
Taipei Taoyuan International Airport,TPE,RCTP,Taiwan,25.07773,121.232803
Taitung Airport,TTT,RCFN,Taiwan,22.75498,121.101601
Taiyuan Wusu International Airport,TYN,ZBYN,China,37.746891,112.628403
Tajima Airport,TJH,RJBT,Japan,35.512798,134.787003
Takaka Airport,KTF,NZTK,New Zealand,-40.813301,172.774994
Takamatsu Airport,TAK,RJOT,Japan,34.214161,134.015503
Takapoto Airport,TKP,NTGT,French Polynesia,-14.709647,-145.246506
Takaroa Airport,TKX,NTKR,French Polynesia,-14.4558,-145.026001
Takengon Rembele Airport,TXE,WITK,Indonesia,4.721123,96.849068
Takoradi Airport,TKD,DGTK,Ghana,4.896056,-1.77475
Taksimo Airport,TKM,UIKG,Russia,56.361515,114.923859
Talakan Airport,TLK,UECT,Russia,59.876389,111.044441
Talara International Airport,TYL,SPYL,Peru,-4.57663,-81.254097
Talca Panguilemo Airport,TLX,SCTL,Chile,-35.377754,-71.601509
Taldykorgan Airport,TDK,UAAT,Kazakhstan,45.109287,78.441322
Talkeetna Airport,TKA,PATK,United States,62.321156,-150.093002
Talladega Municipal Airport,ASN,KASN,United States,33.570244,-86.050545
Tallahassee International Airport,TLH,KTLH,United States,30.396521,-84.350304
Tallinn Lennart Meri Airport,TLL,EETN,Estonia,59.413311,24.83284
Taloyoak Airport,YYH,CYYH,Canada,69.546661,-93.576599
Tamale Airport,TML,DGLE,Ghana,9.557192,-0.86321
Tamana Airport,TMN,NGTM,Kiribati,-2.486023,175.970169
Tamanrasset Aguenar Airport,TMR,DAAT,Algeria,22.81146,5.451075
Tamarindo Airport,TNO,MRTM,Costa Rica,10.315389,-85.81369
Tambolaka Airport,TMC,WATK,Indonesia,-9.40971,119.2444
Tambor Airport,TMU,MRTR,Costa Rica,9.740862,-85.018578
Tambov Donskoye Airport,TBW,UUOT,Russia,52.806099,41.4828
Tamchy Issyk-Kul International Airport,IKU,UCFL,Kyrgyzstan,42.588055,76.713058
Tame Gabriel Vargas Santos Airport,TME,SKTM,Colombia,6.451036,-71.759903
Tampa Clearwater Air Park Airport,CLW,KCLW,United States,27.9767,-82.758698
Tampa Executive Airport,VDF,KVDF,United States,28.01226,-82.347511
Tampa International Airport,TPA,KTPA,United States,27.97547,-82.533203
